
Testing the neural network:
Number: -658178, Predicted: even, Actual: even ✓
Number: -123999, Predicted: odd, Actual: odd ✓
Number: 110567, Predicted: odd, Actual: odd ✓
Number: -343321, Predicted: odd, Actual: odd ✓
Number: -976292, Predicted: even, Actual: even ✓
Number: -977619, Predicted: odd, Actual: odd ✓
Number: 66850, Predicted: even, Actual: even ✓
Number: 985998, Predicted: even, Actual: even ✓
Number: -470615, Predicted: odd, Actual: odd ✓
Number: -601976, Predicted: even, Actual: even ✓
Number: 236827, Predicted: odd, Actual: odd ✓
Number: -345316, Predicted: even, Actual: even ✓
Number: 955446, Predicted: even, Actual: even ✓
Number: -603949, Predicted: odd, Actual: odd ✓
Number: 91805, Predicted: odd, Actual: odd ✓
Number: 333833, Predicted: odd, Actual: odd ✓
Number: -234026, Predicted: even, Actual: even ✓
Number: -250988, Predicted: even, Actual: even ✓
Number: -797859, Predicted: odd, Actual: odd ✓
Number: -874666, Predicted: even, Actual: even ✓
Number: 138212, Predicted: even, Actual: even ✓
Number: 927483, Predicted: odd, Actual: odd ✓
Number: -768939, Predicted: odd, Actual: odd ✓
Number: -855685, Predicted: odd, Actual: odd ✓
Number: 464324, Predicted: even, Actual: even ✓
Number: 35902, Predicted: even, Actual: even ✓
Number: 300156, Predicted: even, Actual: even ✓
Number: 876053, Predicted: odd, Actual: odd ✓
Number: -119999, Predicted: odd, Actual: odd ✓
Number: 254084, Predicted: even, Actual: even ✓
Number: -271592, Predicted: even, Actual: even ✓
Number: -75551, Predicted: odd, Actual: odd ✓
Number: -249281, Predicted: odd, Actual: odd ✓
Number: 838368, Predicted: even, Actual: even ✓
Number: -461993, Predicted: odd, Actual: odd ✓
Number: -294174, Predicted: even, Actual: even ✓
Number: -391646, Predicted: even, Actual: even ✓
Number: -518192, Predicted: even, Actual: even ✓
Number: 647904, Predicted: even, Actual: even ✓
Number: 669845, Predicted: odd, Actual: odd ✓
Number: -574329, Predicted: odd, Actual: odd ✓
Number: -88947, Predicted: odd, Actual: odd ✓
Number: 143507, Predicted: odd, Actual: odd ✓
Number: -961623, Predicted: odd, Actual: odd ✓
Number: 985188, Predicted: even, Actual: even ✓
Number: -932954, Predicted: even, Actual: even ✓
Number: -402752, Predicted: even, Actual: even ✓
Number: 426654, Predicted: even, Actual: even ✓
Number: -599701, Predicted: odd, Actual: odd ✓
Number: 548336, Predicted: even, Actual: even ✓
Number: -123583, Predicted: odd, Actual: odd ✓
Number: 656157, Predicted: odd, Actual: odd ✓
Number: 918926, Predicted: even, Actual: even ✓
Number: -684056, Predicted: even, Actual: even ✓
Number: -475013, Predicted: odd, Actual: odd ✓
Number: -531668, Predicted: even, Actual: even ✓
Number: 900266, Predicted: even, Actual: even ✓
Number: 353706, Predicted: even, Actual: even ✓
Number: -763283, Predicted: odd, Actual: odd ✓
Number: 561416, Predicted: even, Actual: even ✓
Number: -702782, Predicted: even, Actual: even ✓
Number: -570524, Predicted: even, Actual: even ✓
Number: -492730, Predicted: even, Actual: even ✓
Number: 828211, Predicted: odd, Actual: odd ✓
Number: -536008, Predicted: even, Actual: even ✓
Number: 701778, Predicted: even, Actual: even ✓
Number: 466269, Predicted: odd, Actual: odd ✓
Number: 496583, Predicted: odd, Actual: odd ✓
Number: -463476, Predicted: even, Actual: even ✓
Number: 469225, Predicted: odd, Actual: odd ✓
Number: -27184, Predicted: even, Actual: even ✓
Number: 785425, Predicted: odd, Actual: odd ✓
Number: -473348, Predicted: even, Actual: even ✓
Number: 335619, Predicted: odd, Actual: odd ✓
Number: 288749, Predicted: odd, Actual: odd ✓
Number: -455077, Predicted: odd, Actual: odd ✓
Number: -773303, Predicted: odd, Actual: odd ✓
Number: 799471, Predicted: odd, Actual: odd ✓
Number: 553692, Predicted: even, Actual: even ✓
Number: 745613, Predicted: odd, Actual: odd ✓
Number: -708106, Predicted: even, Actual: even ✓
Number: 648114, Predicted: even, Actual: even ✓
Number: 846826, Predicted: even, Actual: even ✓
Number: -315628, Predicted: even, Actual: even ✓
Number: -271614, Predicted: even, Actual: even ✓
Number: 468719, Predicted: odd, Actual: odd ✓
Number: -568784, Predicted: even, Actual: even ✓
Number: -322536, Predicted: even, Actual: even ✓
Number: -434778, Predicted: even, Actual: even ✓
Number: -772317, Predicted: odd, Actual: odd ✓
Number: -961607, Predicted: odd, Actual: odd ✓
Number: -435399, Predicted: odd, Actual: odd ✓
Number: -582203, Predicted: odd, Actual: odd ✓
Number: -31863, Predicted: odd, Actual: odd ✓
Number: 673979, Predicted: odd, Actual: odd ✓
Number: -21893, Predicted: odd, Actual: odd ✓
Number: -214548, Predicted: even, Actual: even ✓
Number: -319999, Predicted: odd, Actual: odd ✓
Number: 569067, Predicted: odd, Actual: odd ✓
Number: -269711, Predicted: odd, Actual: odd ✓
Number: 776100, Predicted: even, Actual: even ✓
Number: -656201, Predicted: odd, Actual: odd ✓
Number: -451859, Predicted: odd, Actual: odd ✓
Number: 146475, Predicted: odd, Actual: odd ✓
Number: 287225, Predicted: odd, Actual: odd ✓
Number: 833482, Predicted: even, Actual: even ✓
Number: 897323, Predicted: odd, Actual: odd ✓
Number: -904108, Predicted: even, Actual: even ✓
Number: -84640, Predicted: even, Actual: even ✓
Number: -230024, Predicted: even, Actual: even ✓
Number: -888073, Predicted: odd, Actual: odd ✓
Number: 397563, Predicted: odd, Actual: odd ✓
Number: 473083, Predicted: odd, Actual: odd ✓
Number: 73941, Predicted: odd, Actual: odd ✓
Number: 466294, Predicted: even, Actual: even ✓
Number: 789553, Predicted: odd, Actual: odd ✓
Number: 180342, Predicted: even, Actual: even ✓
Number: -187683, Predicted: odd, Actual: odd ✓
Number: 847937, Predicted: odd, Actual: odd ✓
Number: -153735, Predicted: odd, Actual: odd ✓
Number: 151339, Predicted: odd, Actual: odd ✓
Number: -277061, Predicted: odd, Actual: odd ✓
Number: -962155, Predicted: odd, Actual: odd ✓
Number: -944120, Predicted: even, Actual: even ✓
Number: -610430, Predicted: even, Actual: even ✓
Number: -69045, Predicted: odd, Actual: odd ✓
Number: -86623, Predicted: odd, Actual: odd ✓
Number: -868436, Predicted: even, Actual: even ✓
Number: 428391, Predicted: odd, Actual: odd ✓
Number: 169538, Predicted: even, Actual: even ✓
Number: -462853, Predicted: odd, Actual: odd ✓
Number: -229177, Predicted: odd, Actual: odd ✓
Number: -709082, Predicted: even, Actual: even ✓
Number: 354056, Predicted: even, Actual: even ✓
Number: 224272, Predicted: even, Actual: even ✓
Number: -230844, Predicted: even, Actual: even ✓
Number: -881831, Predicted: odd, Actual: odd ✓
Number: -167310, Predicted: even, Actual: even ✓
Number: -84481, Predicted: odd, Actual: odd ✓
Number: 84507, Predicted: odd, Actual: odd ✓
Number: -475232, Predicted: even, Actual: even ✓
Number: -369361, Predicted: odd, Actual: odd ✓
Number: 944736, Predicted: even, Actual: even ✓
Number: -778455, Predicted: odd, Actual: odd ✓
Number: -356199, Predicted: odd, Actual: odd ✓
Number: -89649, Predicted: odd, Actual: odd ✓
Number: -241668, Predicted: even, Actual: even ✓
Number: -502447, Predicted: odd, Actual: odd ✓
Number: 663614, Predicted: even, Actual: even ✓
Number: -690032, Predicted: even, Actual: even ✓
Number: -254079, Predicted: odd, Actual: odd ✓
Number: -525201, Predicted: odd, Actual: odd ✓
Number: -813984, Predicted: even, Actual: even ✓
Number: 624661, Predicted: odd, Actual: odd ✓
Number: 82190, Predicted: even, Actual: even ✓
Number: 47733, Predicted: odd, Actual: odd ✓
Number: 120009, Predicted: odd, Actual: odd ✓
Number: 201849, Predicted: odd, Actual: odd ✓
Number: -709616, Predicted: even, Actual: even ✓
Number: 373309, Predicted: odd, Actual: odd ✓
Number: -259338, Predicted: even, Actual: even ✓
Number: -324601, Predicted: odd, Actual: odd ✓
Number: 60377, Predicted: odd, Actual: odd ✓
Number: -881936, Predicted: even, Actual: even ✓
Number: 671208, Predicted: even, Actual: even ✓
Number: -826170, Predicted: even, Actual: even ✓
Number: -1000000, Predicted: even, Actual: even ✓
Number: -378756, Predicted: even, Actual: even ✓
Number: -286316, Predicted: even, Actual: even ✓
Number: 847620, Predicted: even, Actual: even ✓
Number: -764096, Predicted: even, Actual: even ✓
Number: -741640, Predicted: even, Actual: even ✓
Number: 173601, Predicted: odd, Actual: odd ✓
Number: -587578, Predicted: even, Actual: even ✓
Number: -875092, Predicted: even, Actual: even ✓
Number: 526547, Predicted: odd, Actual: odd ✓
Number: -495379, Predicted: odd, Actual: odd ✓
Number: -96216, Predicted: even, Actual: even ✓
Number: -606661, Predicted: odd, Actual: odd ✓
Number: -685877, Predicted: odd, Actual: odd ✓
Number: -245080, Predicted: even, Actual: even ✓
Number: -716276, Predicted: even, Actual: even ✓
Number: -915235, Predicted: odd, Actual: odd ✓
Number: -677883, Predicted: odd, Actual: odd ✓
Number: -362761, Predicted: odd, Actual: odd ✓
Number: -910191, Predicted: odd, Actual: odd ✓
Number: -290753, Predicted: odd, Actual: odd ✓
Number: 702687, Predicted: odd, Actual: odd ✓
Number: -362933, Predicted: odd, Actual: odd ✓
Number: 900987, Predicted: odd, Actual: odd ✓
Number: -688902, Predicted: even, Actual: even ✓
Number: -6408, Predicted: even, Actual: even ✓
Number: 806561, Predicted: odd, Actual: odd ✓
Number: -165062, Predicted: even, Actual: even ✓
Number: 713842, Predicted: even, Actual: even ✓
Number: -624183, Predicted: odd, Actual: odd ✓
Number: 179800, Predicted: even, Actual: even ✓
Number: -774932, Predicted: even, Actual: even ✓
Number: -793060, Predicted: even, Actual: even ✓
Number: -989974, Predicted: even, Actual: even ✓
Number: -950300, Predicted: even, Actual: even ✓
Number: 760505, Predicted: odd, Actual: odd ✓
Number: 565761, Predicted: odd, Actual: odd ✓
Number: -364339, Predicted: odd, Actual: odd ✓
Number: -552668, Predicted: even, Actual: even ✓
Number: -710957, Predicted: odd, Actual: odd ✓
Number: 131980, Predicted: even, Actual: even ✓
Number: 986375, Predicted: odd, Actual: odd ✓
Number: 264320, Predicted: even, Actual: even ✓
Number: 15988, Predicted: even, Actual: even ✓
Number: -808277, Predicted: odd, Actual: odd ✓
Number: 918836, Predicted: even, Actual: even ✓
Number: 746835, Predicted: odd, Actual: odd ✓
Number: -541624, Predicted: even, Actual: even ✓
Number: -119387, Predicted: odd, Actual: odd ✓
Number: -652410, Predicted: even, Actual: even ✓
Number: -399086, Predicted: even, Actual: even ✓
Number: -352782, Predicted: even, Actual: even ✓
Number: -904828, Predicted: even, Actual: even ✓
Number: -299920, Predicted: even, Actual: even ✓
Number: -999647, Predicted: odd, Actual: odd ✓
Number: 640684, Predicted: even, Actual: even ✓
Number: -557429, Predicted: odd, Actual: odd ✓
Number: -839917, Predicted: odd, Actual: odd ✓
Number: -555332, Predicted: even, Actual: even ✓
Number: 441238, Predicted: even, Actual: even ✓
Number: 587793, Predicted: odd, Actual: odd ✓
Number: 880677, Predicted: odd, Actual: odd ✓
Number: -517903, Predicted: odd, Actual: odd ✓
Number: -164257, Predicted: odd, Actual: odd ✓
Number: -738312, Predicted: even, Actual: even ✓
Number: 520848, Predicted: even, Actual: even ✓
Number: 929570, Predicted: even, Actual: even ✓
Number: -697509, Predicted: odd, Actual: odd ✓
Number: 282778, Predicted: even, Actual: even ✓
Number: -486235, Predicted: odd, Actual: odd ✓
Number: -220513, Predicted: odd, Actual: odd ✓
Number: -379383, Predicted: odd, Actual: odd ✓
Number: 709456, Predicted: even, Actual: even ✓
Number: -322155, Predicted: odd, Actual: odd ✓
Number: -435295, Predicted: odd, Actual: odd ✓
Number: 831605, Predicted: odd, Actual: odd ✓
Number: 113122, Predicted: even, Actual: even ✓
Number: -13723, Predicted: odd, Actual: odd ✓
Number: 56734, Predicted: even, Actual: even ✓
Number: 407363, Predicted: odd, Actual: odd ✓
Number: 0, Predicted: even, Actual: even ✓
Number: 107094, Predicted: even, Actual: even ✓
Number: 377692, Predicted: even, Actual: even ✓
Number: 875484, Predicted: even, Actual: even ✓
Number: -128702, Predicted: even, Actual: even ✓
Number: 179185, Predicted: odd, Actual: odd ✓
Number: -113886, Predicted: even, Actual: even ✓
Number: -295688, Predicted: even, Actual: even ✓
Number: 150065, Predicted: odd, Actual: odd ✓
Number: -137910, Predicted: even, Actual: even ✓
Number: -128382, Predicted: even, Actual: even ✓
Number: 178448, Predicted: even, Actual: even ✓
Number: 556136, Predicted: even, Actual: even ✓
Number: 920255, Predicted: odd, Actual: odd ✓
Number: -729719, Predicted: odd, Actual: odd ✓
Number: -401906, Predicted: even, Actual: even ✓
Number: 769435, Predicted: odd, Actual: odd ✓
Number: 515723, Predicted: odd, Actual: odd ✓
Number: -866820, Predicted: even, Actual: even ✓
Number: -93202, Predicted: even, Actual: even ✓
Number: -823700, Predicted: even, Actual: even ✓
Number: 749828, Predicted: even, Actual: even ✓
Number: 135524, Predicted: even, Actual: even ✓
Number: 578275, Predicted: odd, Actual: odd ✓
